CATEGORY,PARENT,ADVERTISER,PRODUCT,TITLE,TAGLINE,REVISION,DESCRIPTION,LANGUAGE,MEDIA TYPE,LINK,ADSCOPE ID,CORE CREATIVE ID,CREATIVE ATTRIBUTE(S),LAST PERIOD AIRED,LENGTH/SIZE,MARKET1,PROGRAM,FIRST SEEN,UNITS,DOLS
"B529 Computer Components & Accessories, General Promotion/Multi-Category/Corporate/Sponsorship",IBM Corp,IBM,IBM Corp : Corporate Promotion,Keep Medicines Stocked,Let's put smart to work.,,Music & Text Only-No Words Spoken. Text is featured. Text: [Today] [pantries] [pantries and medicine cabinets] [need to stay full.] [It's harder than ever] [but people] [but people depend on it] [With smarter supply chains] [retailers are getting more products on shelves] [Pharmacies are using the IBM Cloud] [to keep medicines stocked] [Factories are using IBM Watson] [to get us more of what we need.] [Let's get to it.] [Let's put smart to work],English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22853354&mtid=1&ff=1,41557084.0,22853354,COVID19 Related=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-05-05,10,847049.0
"T114 Cars&Lt Trucks, Dmstc Factory: Sls&Lsg",General Motors Corp,Chevrolet,Chevrolet : General Promotion - Domestic Autos & Trucks,It's Helping You Moving Forward/-120,FIND NEW ROADS,Deffered monthly paments for 120 days is no longer featured. Legalese has changed.,"A man is featured driving. M-Annc The open road the wind in your hair the feeling of freedom that drives us to go out and discover."" He mentions that at Chevy they are committed to getting you there with confidence and peace of mind. He mentions that if you need a new Chevy interest free financing for 84 months on the most popular models or deferred monthly payments for 120 days. He mentions that you may even shop online and take delivery at home. He also mentions if you require parts maintenance or repairs their Chevy certified service experts can help keep you moving forward. CHEVYCARES.COM""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22896184&mtid=1&ff=1,41661630.0,22896184,Price Point=Y|COVID19 Related=Y|,2020-05-25,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-05-16,21,841767.0
V359 Retailers: Comb Copy & NEC,Amazon.com Inc,Audible,Audible : Online,Changes Your Life,,,"A man is featured. Man So I listen to Audible almost anytime that I can."" Various people are featured stating how useful Audible is and what do they listen on it. F-Annc states see what listening to Audible can do for you.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22793087&mtid=1&ff=1,41427295.0,22793087,,2020-05-18,30,* NATIONAL,BIG BANG THEORY | VOICE,2020-04-20,17,841174.0
B429 Insurance: Comb Copy & NEC,Progressive Corp,Progressive,Progressive : Various Insurance,Blurry Photo of Sasquatch,,,"Flo and a sasquatch are featured. Sasquatch People used to care that they'd come all the way out here just for a blurry photo of me."" A couple is featured taking a photo of the sasquatch. Flo mentions that Progressive helps people save when they bundle their home and their outdoor vehicle. Text: [LOCAL AGENT] PROGRESSIVE.COM""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22688028&mtid=1&ff=1,41196812.0,22688028,Spokesperson=Y|,2020-04-27,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-03-23,39,819987.0
"B260 Communications Companies, Corporate",AT&T Inc,AT&T,AT&T Communications : Corporate Promotion,Stay Connected And Share What You Want,,,"People are featured working. F-Annc AT&T has connected us everyday for over one hundred years."" She states that they are here for you especially now doing everything possible to keep you connected to the resiliance of their network and people who can keep learning sharing watching and most of all keep gathering. It's the job you have always done it's the job you always do. Text: [Essential stores are open] [visit] ATT.COM #QUARANTINEDANCING""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22702924&mtid=1&ff=1,41225091.0,22702924,Hashtag=Y|COVID19 Related=Y|,2020-04-13,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-03-28,12,819109.0
"B322 Religious, Charitable & Humanitarian",American Red Cross,American Red Cross,American Red Cross : Disaster Relief Organization,Donate Blood is Helpful for Everyone,,,"A man is featured donating his blood. F-Annc As we work to get through this times together you may not be thinking about blood donation."" She states that but blood is desperately needed now to save lives people who are sick with the range of serious illnesses. It's easy and safe to give. If you're in good health please donate. We need heroes now. Visit the website to schedule an appointment. RedCrossBlood.org""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22711983&mtid=1&ff=1,41256244.0,22711983,COVID19 Related=Y|,2020-04-20,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY,2020-04-01,21,805147.0
B229 Telecom Providers/Services:Comb Copy&NEC,Facebook Inc,Facebook,Facebook Portal : Video Conferencing Service,Celebrate Mother's Day Staying Home Now,,,Music & Text Only-No Words Spoken. A woman is featured watching something on a paper. Text: [It Shouldn't be possible.] [To work from home.] [And be the teacher.] [And make the playdates.] [And make the dinner.] [And do the yoga.] [And throw the parties.] [And read the stories.] [All in time for bedtime.] [But right now somehow you do it.] [Thank you. Happy Mother's Day],English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22819182&mtid=1&ff=1,41485147.0,22819182,Social Media: Facebook=Y|Holiday: Mother's Day=Y|COVID19 Related=Y|,2020-04-27,30,* NATIONAL,BIG BANG THEORY | MODERN FAMILY | VOICE,2020-04-27,23,804804.0
B223 Wireless Telecom Providers,Deutsche Telekom Ag,T-Mobile,T-Mobile : Consumer Wireless Service,"A. Anderson:...Pay/$35, Website",,Now M-Annc states at T-Mobile taxes and fees are included. Right now when you switch your family get 4 lines of unlimited for just $35 per line. Legalese has changed. Featured website is T-Mobile.com/4for35.,"Anthony Anderson is featured. A. Anderson Hey mama what's up?"" His mom states she is confused about the price of her phone bill. Anthony states she is on T-Mobile where taxes and fees are included. M-Annc states with T-Mobile taxes and fees are included. There is no extra taxes and fees. So what you see is what you pay.""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22823426&mtid=1&ff=1,41492108.0,22823426,Celebrity=Y|Spokesperson=Y|Price Point=Y|,2020-05-18,30,* NATIONAL,BIG BANG THEORY | VOICE,2020-04-27,10,787011.0
B513 Tablet Computers,Apple Inc,Apple,Apple iPad Pro : Tablet Computer,Just Not a Computer,,,Music & Text Only-No Words Spoken. A colorful bird is featured. Text: [Your next computer] [is not a computer] [The new iPad Pro] Apple logo is featured.,English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22788629&mtid=1&ff=1,41420527.0,22788629,New Product=Y|,2020-05-11,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-04-18,11,786944.0
B223 Wireless Telecom Providers,Deutsche Telekom Ag,T-Mobile,T-Mobile : Consumer Wireless Service,Connection Is the Most Important Thing,WE'RE WITH YOU,,"A mobile phone is featured. M-Annc At T-Mobile we know that connection is more important than ever."" T-Mobile has increased the network capacity and given customers more access to unlimited data and provided free data for schools and students. He mentions to visit their website to learn more. You can also manage your account make payments and find T-Mobile stores that are open near you. T-MOBILE.COM""",English,TV,http://customportal.kantarmediana.com/Creatives/Gateway.aspx?&cid=22698355&mtid=1&ff=1,41217522.0,22698355,COVID19 Related=Y|,2020-04-20,30,* NATIONAL,BIG BANG THEORY | EMPIRE | MODERN FAMILY | VOICE,2020-03-25,17,773748.0
